-1.765818893909454346e-02,3.575946763157844543e-02,9.160725474357604980e-01,9.922706484794616699e-01,3.979125991463661194e-02,6.630545482039451599e-03,1.173528358340263367e-01,1.276086568832397461e-01,-1.378774829208850861e-02,6.032469496130943298e-02,5.950317531824111938e-02,-1.096113119274377823e-02,-1.048369798809289932e-02,-1.145515069365501404e-01,6.919659674167633057e-02,3.307412564754486084e-02,1.173987664894460270e-17,1.296508871018886566e-02,-1.053376123309135437e-02,7.795511186122894287e-02,2.002264186739921570e-02,-2.196318004280328751e-03,2.037730813026428223e-02,1.536691188812255859e-02,-1.939555630087852478e-02,7.339397910982370377e-03,4.101989790797233582e-02,-9.169629774987697601e-03
-2.145060710608959198e-02,3.374551609158515930e-02,9.561524391174316406e-01,9.632230401039123535e-01,7.076563686132431030e-02,4.243382718414068222e-03,2.591826021671295166e-01,2.105920612812042236e-01,8.095769584178924561e-02,1.318051964044570923e-01,1.013072133064270020e-01,-1.068691536784172058e-02,-3.655553981661796570e-02,-2.104889750480651855e-01,2.416883595287799835e-02,8.273393660783767700e-02,7.579250812031479434e-18,2.102513983845710754e-02,-1.308311708271503448e-02,2.046606540679931641e-01,5.925212055444717407e-02,-9.348101448267698288e-04,4.576522111892700195e-02,4.666368663311004639e-02,-5.189430713653564453e-02,7.585081271827220917e-03,1.163007169961929321e-01,-1.876769214868545532e-02
-3.169029578566551208e-02,3.112066537141799927e-02,9.549652934074401855e-01,9.184349179267883301e-01,8.571029454469680786e-02,-2.019711304455995560e-03,3.861695826053619385e-01,1.916187554597854614e-01,2.252800166606903076e-01,2.111899852752685547e-01,9.021645039319992065e-02,-7.397609297186136246e-03,-6.895662099123001099e-02,-2.250793576240539551e-01,-8.583036810159683228e-02,1.346481591463088989e-01,1.828923821449279785e-02,3.128566592931747437e-02,-1.299523655325174332e-02,3.436072766780853271e-01,1.146187037229537964e-01,1.554900687187910080e-02,5.840985849499702454e-02,9.365425258874893188e-02,-8.731751888990402222e-02,-5.193368531763553619e-03,2.149077206850051880e-01,-1.642996631562709808e-02
-3.639052435755729675e-02,3.973959013819694519e-02,9.513167738914489746e-01,8.682732582092285156e-01,8.213750272989273071e-02,-1.055665779858827591e-02,4.891252219676971436e-01,1.113279834389686584e-01,3.179632425308227539e-01,2.963141202926635742e-01,6.453185528516769409e-02,1.133070886135101318e-02,-9.869830310344696045e-02,-1.888348311185836792e-01,-1.670329272747039795e-01,1.696333438158035278e-01,7.052691280841827393e-02,4.300570115447044373e-02,-9.212560951709747314e-03,4.537378549575805664e-01,1.812262386083602905e-01,6.246106699109077454e-02,3.494704887270927429e-02,1.574389487504959106e-01,-1.180376559495925903e-01,-3.106431104242801666e-02,3.280135095119476318e-01,1.320175081491470337e-02
-4.691933095455169678e-02,4.069335013628005981e-02,9.469051957130432129e-01,8.302999138832092285e-01,7.258153706789016724e-02,-1.686482131481170654e-02,5.523128509521484375e-01,2.388042770326137543e-02,3.488515317440032959e-01,3.602232635021209717e-01,5.626601353287696838e-02,4.525619745254516602e-02,-1.202266216278076172e-01,-1.641301363706588745e-01,-1.888914257287979126e-01,1.749673634767532349e-01,1.202808916568756104e-01,5.040684714913368225e-02,-3.549676155671477318e-03,5.051947832107543945e-01,2.419214546680450439e-01,1.470086574554443359e-01,-3.264496102929115295e-02,2.296579778194427490e-01,-1.368439048528671265e-01,-6.315148621797561646e-02,4.411085546016693115e-01,8.123816549777984619e-02
-4.713165014982223511e-02,3.612921014428138733e-02,9.446365833282470703e-01,8.095520734786987305e-01,6.431706249713897705e-02,-1.943907141685485840e-02,5.831902623176574707e-01,-3.625331819057464600e-02,3.609728813171386719e-01,3.976404368877410889e-01,6.873815506696701050e-02,8.291812241077423096e-02,-1.312846392393112183e-01,-1.623432636260986328e-01,-1.815563589334487915e-01,1.594140827655792236e-01,1.577667593955993652e-01,5.347768589854240417e-02,3.922482486814260483e-03,5.100423693656921387e-01,2.813554704189300537e-01,2.482093274593353271e-01,-1.238305419683456421e-01,2.975067794322967529e-01,-1.498905122280120850e-01,-9.019961208105087280e-02,5.427991747856140137e-01,1.723896265029907227e-01
-5.126973614096641541e-02,3.685655072331428528e-02,9.441021680831909180e-01,7.990097999572753906e-01,5.752438306808471680e-02,-2.154523879289627075e-02,5.981723070144653320e-01,-7.415461540222167969e-02,3.690558671951293945e-01,4.169276654720306396e-01,9.011458605527877808e-02,1.192213520407676697e-01,-1.400312930345535278e-01,-1.679446101188659668e-01,-1.782019436359405518e-01,1.349890232086181641e-01,1.896069496870040894e-01,5.413302779197692871e-02,1.165010500699281693e-02,4.961445033550262451e-01,3.020397424697875977e-01,3.435050547122955322e-01,-2.161744982004165649e-01,3.611068129539489746e-01,-1.649054884910583496e-01,-1.054085344076156616e-01,6.302207112312316895e-01,2.711609303951263428e-01
-5.518165603280067444e-02,3.733402490615844727e-02,9.436523318290710449e-01,7.936186194419860840e-01,5.313633009791374207e-02,-2.497022598981857300e-02,6.055762171745300293e-01,-9.910172224044799805e-02,3.770625889301300049e-01,4.222911298274993896e-01,1.094570383429527283e-01,1.515894830226898193e-01,-1.441573798656463623e-01,-1.725036799907684326e-01,-1.769183725118637085e-01,1.049364209175109863e-01,2.172461599111557007e-01,5.208909139037132263e-02,2.014693990349769592e-02,4.784307181835174561e-01,3.062181174755096436e-01,4.229193925857543945e-01,-2.981035411357879639e-01,4.202337861061096191e-01,-1.878529936075210571e-01,-1.071231141686439514e-01,7.018638849258422852e-01,3.694506585597991943e-01
-5.834434181451797485e-02,3.830482438206672668e-02,9.435924291610717773e-01,7.886149287223815918e-01,5.008428171277046204e-02,-2.893639169633388519e-02,6.121606826782226562e-01,-1.140158548951148987e-01,3.827683925628662109e-01,4.178107678890228271e-01,1.227921843528747559e-01,1.754050701856613159e-01,-1.456544548273086548e-01,-1.741595715284347534e-01,-1.766146868467330933e-01,7.550702244043350220e-02,2.408568561077117920e-01,4.867292940616607666e-02,2.807100676000118256e-02,4.636886417865753174e-01,2.979601025581359863e-01,4.828451871871948242e-01,-3.656346797943115234e-01,4.751479327678680420e-01,-2.169092446565628052e-01,-9.390292316675186157e-02,7.579956054687500000e-01,4.637230336666107178e-01
-6.221051514148712158e-02,3.986763581633567810e-02,9.436643719673156738e-01,7.833938002586364746e-01,4.842250421643257141e-02,-3.362025693058967590e-02,6.187237501144409180e-01,-1.220129653811454773e-01,3.847746551036834717e-01,4.068655967712402344e-01,1.325337439775466919e-01,1.923638284206390381e-01,-1.462435573339462280e-01,-1.700368374586105347e-01,-1.787564605474472046e-01,4.825586453080177307e-02,2.581713795661926270e-01,4.216873645782470703e-02,3.409303724765777588e-02,4.536516666412353516e-01,2.795101404190063477e-01,5.239806175231933594e-01,-4.183638691902160645e-01,5.260756611824035645e-01,-2.504807710647583008e-01,-7.250080257654190063e-02,8.011890053749084473e-01,5.529702901840209961e-01
-6.642586737871170044e-02,4.076698422431945801e-02,9.442034959793090820e-01,7.769185304641723633e-01,4.813110828399658203e-02,-3.831854090094566345e-02,6.265881657600402832e-01,-1.262740194797515869e-01,3.831036388874053955e-01,3.939961791038513184e-01,1.406481564044952393e-01,2.026449888944625854e-01,-1.483043134212493896e-01,-1.608060300350189209e-01,-1.829450875520706177e-01,2.455055154860019684e-02,2.689841389656066895e-01,3.315695375204086304e-02,3.864271938800811768e-02,4.471935927867889404e-01,2.531939148902893066e-01,5.496163368225097656e-01,-4.585262537002563477e-01,5.726039409637451172e-01,-2.846978008747100830e-01,-4.808953404426574707e-02,8.343428969383239746e-01,6.378227472305297852e-01
-7.008778303861618042e-02,3.979326039552688599e-02,9.449911713600158691e-01,7.695950865745544434e-01,4.902639612555503845e-02,-4.234658181667327881e-02,6.352373957633972168e-01,-1.288839727640151978e-01,3.789528310298919678e-01,3.804849088191986084e-01,1.479012072086334229e-01,2.077458202838897705e-01,-1.526510417461395264e-01,-1.491680890321731567e-01,-1.878337413072586060e-01,3.335560206323862076e-03,2.733056247234344482e-01,2.298651449382305145e-02,4.119817540049552917e-02,4.444287121295928955e-01,2.233281284570693970e-01,5.616673827171325684e-01,-4.888593852519989014e-01,6.169419288635253906e-01,-3.176465034484863281e-01,-2.347783185541629791e-02,8.605487346649169922e-01,7.181835174560546875e-01
-7.490004599094390869e-02,4.210059344768524170e-02,9.461399316787719727e-01,7.629511952400207520e-01,5.141758173704147339e-02,-4.498572647571563721e-02,6.428358554840087891e-01,-1.250883191823959351e-01,3.696990609169006348e-01,3.638787567615509033e-01,1.571585983037948608e-01,2.083677053451538086e-01,-1.580334156751632690e-01,-1.329523324966430664e-01,-1.979774683713912964e-01,-1.553888525813817978e-02,2.738635241985321045e-01,1.265597343444824219e-02,4.285204410552978516e-02,4.450486898422241211e-01,1.898649334907531738e-01,5.630455613136291504e-01,-5.099624991416931152e-01,6.590732932090759277e-01,-3.467407226562500000e-01,1.149187795817852020e-03,8.809131979942321777e-01,7.946761846542358398e-01
-7.792347669601440430e-02,4.498996213078498840e-02,9.473616480827331543e-01,7.569709420204162598e-01,5.533221736550331116e-02,-4.591915011405944824e-02,6.494804024696350098e-01,-1.170897558331489563e-01,3.572068214416503906e-01,3.433690369129180908e-01,1.648424565792083740e-01,2.039333879947662354e-01,-1.625187844038009644e-01,-1.151478141546249390e-01,-2.091010361909866333e-01,-3.110214136540889740e-02,2.711377441883087158e-01,2.964647952467203140e-03,4.283930361270904541e-02,4.459617435932159424e-01,1.555891335010528564e-01,5.582739114761352539e-01,-5.246982574462890625e-01,7.015704512596130371e-01,-3.721400499343872070e-01,2.514406852424144745e-02,8.949880599975585938e-01,8.669886589050292969e-01
-7.395602017641067505e-02,4.506842792034149170e-02,9.485388398170471191e-01,7.507041692733764648e-01,6.093759834766387939e-02,-4.476826637983322144e-02,6.562969088554382324e-01,-1.100747659802436829e-01,3.462032377719879150e-01,3.207119107246398926e-01,1.694674342870712280e-01,1.974289864301681519e-01,-1.660557687282562256e-01,-9.797944873571395874e-02,-2.150485664606094360e-01,-4.421612992882728577e-02,2.655732929706573486e-01,-8.514018729329109192e-03,3.991740942001342773e-02,4.486189186573028564e-01,1.211131215095520020e-01,5.519567131996154785e-01,-5.329002141952514648e-01,7.459506392478942871e-01,-3.943984508514404297e-01,4.965530708432197571e-02,9.022456407546997070e-01,9.331555962562561035e-01
-7.155912369489669800e-02,4.757321998476982117e-02,9.492912292480468750e-01,7.462128400802612305e-01,6.636422127485275269e-02,-4.317876324057579041e-02,6.609824299812316895e-01,-1.003580093383789062e-01,3.336241245269775391e-01,2.972024679183959961e-01,1.733291894197463989e-01,1.905197948217391968e-01,-1.683343350887298584e-01,-8.009225875139236450e-02,-2.231987267732620239e-01,-5.634035542607307434e-02,2.587114870548248291e-01,-2.102741226553916931e-02,3.417124599218368530e-02,4.481166005134582520e-01,9.080662578344345093e-02,5.427381396293640137e-01,-5.401273369789123535e-01,7.923991084098815918e-01,-4.139513969421386719e-01,7.264558225870132446e-02,9.031571149826049805e-01,9.949154853820800781e-01
-6.791072338819503784e-02,4.794057086110115051e-02,9.490622282028198242e-01,7.425162792205810547e-01,7.063166797161102295e-02,-4.254315048456192017e-02,6.647336483001708984e-01,-9.423492103815078735e-02,3.261578679084777832e-01,2.743634879589080811e-01,1.723393201828002930e-01,1.860043108463287354e-01,-1.688700467348098755e-01,-6.580124795436859131e-02,-2.262601852416992188e-01,-6.590074300765991211e-02,2.520262897014617920e-01,-3.330884873867034912e-02,2.771694958209991455e-02,4.423048794269561768e-01,6.590483337640762329e-02,5.308765769004821777e-01,-5.484347343444824219e-01,8.368684053421020508e-01,-4.324085414409637451e-01,9.468936175107955933e-02,8.973724842071533203e-01,1.051074981689453125e+00
-6.477790325880050659e-02,4.951272532343864441e-02,9.485471844673156738e-01,7.388776540756225586e-01,7.343082875013351440e-02,-4.309291765093803406e-02,6.684390306472778320e-01,-8.852442353963851929e-02,3.233188390731811523e-01,2.579675912857055664e-01,1.738626658916473389e-01,1.824411451816558838e-01,-1.688371449708938599e-01,-5.247534066438674927e-02,-2.267812937498092651e-01,-7.704448699951171875e-02,2.492464482784271240e-01,-4.426654055714607239e-02,2.106487192213535309e-02,4.323990643024444580e-01,4.784602671861648560e-02,5.181376934051513672e-01,-5.606475472450256348e-01,8.806661367416381836e-01,-4.503145813941955566e-01,1.146616414189338684e-01,8.903310298919677734e-01,1.103091239929199219e+00
-6.060502678155899048e-02,5.046822503209114075e-02,9.474995136260986328e-01,7.357064485549926758e-01,7.545788586139678955e-02,-4.539382830262184143e-02,6.715515851974487305e-01,-8.377169072628021240e-02,3.261955082416534424e-01,2.449872195720672607e-01,1.764889210462570190e-01,1.802469938993453979e-01,-1.669466942548751831e-01,-4.006575420498847961e-02,-2.230412065982818604e-01,-9.028349071741104126e-02,2.494089007377624512e-01,-5.512282624840736389e-02,1.600372046232223511e-02,4.206233024597167969e-01,3.315468132495880127e-02,5.053567886352539062e-01,-5.749428272247314453e-01,9.228125214576721191e-01,-4.692789018154144287e-01,1.324141323566436768e-01,8.837684392929077148e-01,1.150998950004577637e+00
-5.914908647537231445e-02,5.031852796673774719e-02,9.459772706031799316e-01,7.335335612297058105e-01,7.614830881357192993e-02,-4.971955716609954834e-02,6.735413670539855957e-01,-8.244387060403823853e-02,3.324804902076721191e-01,2.351782768964767456e-01,1.816547065973281860e-01,1.816991418600082397e-01,-1.639875620603561401e-01,-3.123230859637260437e-02,-2.189939022064208984e-01,-1.065481081604957581e-01,2.530204951763153076e-01,-6.366623938083648682e-02,1.408034563064575195e-02,4.081044793128967285e-01,2.083000540733337402e-02,4.915995299816131592e-01,-5.920667052268981934e-01,9.606444239616394043e-01,-4.866574406623840332e-01,1.495765447616577148e-01,8.782925009727478027e-01,1.195792913436889648e+00
-5.544858798384666443e-02,4.643364623188972473e-02,9.442987442016601562e-01,7.327024340629577637e-01,7.617103308439254761e-02,-5.505063757300376892e-02,6.740285754203796387e-01,-8.538345992565155029e-02,3.443319499492645264e-01,2.249184101819992065e-01,1.872245818376541138e-01,1.872701644897460938e-01,-1.591358780860900879e-01,-2.822333946824073792e-02,-2.095575630664825439e-01,-1.223365068435668945e-01,2.580625116825103760e-01,-7.096929848194122314e-02,1.356914173811674118e-02,3.925391733646392822e-01,8.802728727459907532e-03,4.786266982555389404e-01,-6.108147501945495605e-01,9.952991604804992676e-01,-5.023941993713378906e-01,1.647298485040664673e-01,8.708413243293762207e-01,1.237747430801391602e+00
-5.395913496613502502e-02,4.451597109436988831e-02,9.428824186325073242e-01,7.318094968795776367e-01,7.520391047000885010e-02,-6.034985929727554321e-02,6.746533513069152832e-01,-8.992040902376174927e-02,3.563449978828430176e-01,2.195048779249191284e-01,1.949476301670074463e-01,1.962644010782241821e-01,-1.545201838016510010e-01,-2.592035010457038879e-02,-2.026132494211196899e-01,-1.400437504053115845e-01,2.662074267864227295e-01,-7.567209005355834961e-02,1.585240289568901062e-02,3.783961534500122070e-01,-2.561855828389525414e-03,4.681680798530578613e-01,-6.326718330383300781e-01,1.024271130561828613e+00,-5.153499245643615723e-01,1.740114986896514893e-01,8.644247055053710938e-01,1.275902748107910156e+00
